"Município";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";" Total"
"130410 TAPAUA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
"130420 TEFE";"0";"2";"0";"0";"0";"0";"3";"0";"0";"12";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18"
"130423 TONANTINS";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"130426 UARINI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"140002 AMAJARI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"140005 ALTO ALEGRE";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"140010 BOA VISTA";"7";"3";"3";"1";"3";"1";"7";"4";"6";"9";"2";"5";"1";"2";"4";"11";"7";"3";"8";"6";"15";"8";"3";"7";"2";"4";"6";"7";"2";"0";"0";"147"
"140015 BONFIM";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"140017 CANTA";"0";"0";"0";"0";"0";"0";"0";"2";"0";"5";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3";"0";"1";"0";"0";"0";"15"
"140020 CARACARAI";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"4"
"140023 CAROEBE";"1";"1";"0";"0";"0";"0";"2";"0";"1";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9"
"140028 IRACEMA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"140030 MUCAJAI";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"140040 NORMANDIA";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"140045 PACARAIMA";"3";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"14"
"140047 RORAINOPOLIS";"1";"2";"0";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"10"
"150010 ABAETETUBA";"0";"0";"0";"0";"0";"0";"2";"2";"2";"35";"5";"1";"0";"1";"1";"1";"3";"2";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"59"
"150020 ACARA";"1";"2";"0";"0";"1";"0";"0";"1";"1";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"13"
"150030 AFUA";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"150034 AGUA AZUL DO NORTE";"0";"0";"1";"0";"0";"0";"1";"1";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"9"
"150040 ALENQUER";"1";"0";"0";"0";"0";"0";"2";"1";"2";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"14"
"150050 ALMEIRIM";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"150060 ALTAMIRA";"1";"0";"0";"0";"0";"0";"4";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"2";"3";"2";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"19"
"150070 ANAJAS";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"150080 ANANINDEUA";"9";"0";"1";"0";"1";"13";"8";"1";"1";"23";"5";"0";"2";"4";"1";"1";"2";"7";"0";"1";"0";"0";"0";"2";"0";"1";"0";"2";"2";"0";"0";"87"
"150085 ANAPU";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"150090 AUGUSTO CORREA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24";"16";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"43"
